Qsort_Numb, Qsort_Time, Qsort_Iterations, Bubble_Numb, Bubble_Time, Bubble_Iterations, BinarySort_Time, BinarySort_Iterations, LinearSearch_Time, LinearSearch_Iterations
33000, 0.0087498s, 0, 33000, 10.8353s, 0000000000000000, 9e-07s, 0000000000000000, 2.44e-05s, 16500
34000, 0.0087703s, 0, 34000, 11.5087s, 0000000000000000, 9e-07s, 0000000000000000, 2.57e-05s, 17000
35000, 0.0100046s, 0, 35000, 12.2068s, 0000000000000000, 1.3e-06s, 0000000000000000, 2.58e-05s, 17500
36000, 0.0094965s, 0, 36000, 12.9049s, 0000000000000000, 9e-07s, 0000000000000000, 2.8e-05s, 18000
37000, 0.0096996s, 0, 37000, 13.6638s, 0000000000000000, 1.3e-06s, 0000000000000000, 2.84e-05s, 18500
38000, 0.0109666s, 0, 38000, 14.3521s, 0000000000000000, 1e-06s, 0000000000000000, 2.87e-05s, 19000
39000, 0.0106823s, 0, 39000, 15.1729s, 0000000000000000, 1.1e-06s, 0000000000000000, 2.89e-05s, 19500
40000, 0.0112115s, 0, 40000, 15.9285s, 0000000000000000, 1e-06s, 0000000000000000, 2.96e-05s, 20000
41000, 0.0107596s, 0, 41000, 16.7932s, 0000000000000000, 1.4e-06s, 0000000000000000, 3.43e-05s, 20500
42000, 0.0112389s, 0, 42000, 17.5983s, 0000000000000000, 9e-07s, 0000000000000000, 3.14e-05s, 21000
43000, 0.0118814s, 0, 43000, 18.4836s, 0000000000000000, 9e-07s, 0000000000000000, 3.19e-05s, 21500
44000, 0.0122624s, 0, 44000, 19.3187s, 0000000000000000, 1e-06s, 0000000000000000, 3.29e-05s, 22000
45000, 0.0118489s, 0, 45000, 20.1803s, 0000000000000000, 1e-06s, 0000000000000000, 3.32e-05s, 22500
46000, 0.0123073s, 0, 46000, 21.1083s, 0000000000000000, 1e-06s, 0000000000000000, 3.7e-05s, 23000
47000, 0.0125125s, 0, 47000, 21.9962s, 0000000000000000, 9e-07s, 0000000000000000, 3.53e-05s, 23500
48000, 0.0131137s, 0, 48000, 22.975s, 0000000000000000, 1.1e-06s, 0000000000000000, 3.62e-05s, 24000
49000, 0.0132975s, 0, 49000, 23.9452s, 0000000000000000, 1e-06s, 0000000000000000, 3.68e-05s, 24500
50000, 0.0137539s, 0, 50000, 25.0079s, 0000000000000000, 1.3e-06s, 0000000000000000, 3.77e-05s, 25000
51000, 0.0142508s, 0, 51000, 25.9999s, 0000000000000000, 1.2e-06s, 0000000000000000, 3.84e-05s, 25500
52000, 0.0151507s, 0, 52000, 26.9752s, 0000000000000000, 1e-06s, 0000000000000000, 3.85e-05s, 26000
53000, 0.0147948s, 0, 53000, 27.952s, 0000000000000000, 1e-06s, 0000000000000000, 3.94e-05s, 26500
54000, 0.0155017s, 0, 54000, 29.0134s, 0000000000000000, 9e-07s, 0000000000000000, 4.04e-05s, 27000
55000, 0.0157274s, 0, 55000, 30.3053s, 0000000000000000, 1e-06s, 0000000000000000, 4.09e-05s, 27500
56000, 0.0157242s, 0, 56000, 31.4144s, 0000000000000000, 9e-07s, 0000000000000000, 4.22e-05s, 28000
57000, 0.0165903s, 0, 57000, 32.5479s, 0000000000000000, 1e-06s, 0000000000000000, 4.39e-05s, 28500
58000, 0.0175871s, 0, 58000, 33.6478s, 0000000000000000, 1e-06s, 0000000000000000, 4.54e-05s, 29000
59000, 0.0169659s, 0, 59000, 34.7322s, 0000000000000000, 1e-06s, 0000000000000000, 4.44e-05s, 29500
60000, 0.0172221s, 0, 60000, 35.9043s, 0000000000000000, 1.2e-06s, 0000000000000000, 4.42e-05s, 30000
61000, 0.0168525s, 0, 61000, 37.2112s, 0000000000000000, 1.9e-06s, 0000000000000000, 4.5e-05s, 30500
62000, 0.0175556s, 0, 62000, 38.3177s, 0000000000000000, 1.1e-06s, 0000000000000000, 4.59e-05s, 31000
63000, 0.0176684s, 0, 63000, 39.5442s, 0000000000000000, 9e-07s, 0000000000000000, 4.69e-05s, 31500
64000, 0.0185443s, 0, 64000, 40.8292s, 0000000000000000, 9e-07s, 0000000000000000, 4.74e-05s, 32000
65000, 0.0184963s, 0, 65000, 42.1461s, 0000000000000000, 1e-06s, 0000000000000000, 4.93e-05s, 32500
66000, 0.0189619s, 0, 66000, 43.444s, 0000000000000000, 1.2e-06s, 0000000000000000, 4.88e-05s, 33000
67000, 0.0191682s, 0, 67000, 44.7381s, 0000000000000000, 1e-06s, 0000000000000000, 5.04e-05s, 33500
68000, 0.0196994s, 0, 68000, 46.0478s, 0000000000000000, 9e-07s, 0000000000000000, 5.1e-05s, 34000
69000, 0.019769s, 0, 69000, 47.7412s, 0000000000000000, 1.7e-06s, 0000000000000000, 5.16e-05s, 34500
70000, 0.0211753s, 0, 70000, 49.0958s, 0000000000000000, 1.2e-06s, 0000000000000000, 5.22e-05s, 35000
71000, 0.0203771s, 0, 71000, 50.2345s, 0000000000000000, 1.5e-06s, 0000000000000000, 5.44e-05s, 35500
72000, 0.0206619s, 0, 72000, 51.6055s, 0000000000000000, 1.4e-06s, 0000000000000000, 5.47e-05s, 36000
73000, 0.0224632s, 0, 73000, 53.5126s, 0000000000000000, 1.2e-06s, 0000000000000000, 5.44e-05s, 36500
74000, 0.0209655s, 0, 74000, 54.6787s, 0000000000000000, 9e-07s, 0000000000000000, 5.61e-05s, 37000
75000, 0.0210232s, 0, 75000, 55.8014s, 0000000000000000, 1.1e-06s, 0000000000000000, 5.57e-05s, 37500
76000, 0.0222418s, 0, 76000, 57.2282s, 0000000000000000, 1e-06s, 0000000000000000, 5.52e-05s, 38000
77000, 0.0221586s, 0, 77000, 58.7877s, 0000000000000000, 1e-06s, 0000000000000000, 5.76e-05s, 38500
78000, 0.0215842s, 0, 78000, 60.4642s, 0000000000000000, 1e-06s, 0000000000000000, 5.8e-05s, 39000
79000, 0.0261281s, 0, 79000, 62.1374s, 0000000000000000, 1.1e-06s, 0000000000000000, 5.72e-05s, 39500
80000, 0.0225247s, 0, 80000, 63.4048s, 0000000000000000, 1e-06s, 0000000000000000, 5.91e-05s, 40000
81000, 0.0228269s, 0, 81000, 65.1113s, 0000000000000000, 1.2e-06s, 0000000000000000, 6.04e-05s, 40500
82000, 0.0237002s, 0, 82000, 66.7769s, 0000000000000000, 1.1e-06s, 0000000000000000, 6.05e-05s, 41000
83000, 0.0254117s, 0, 83000, 68.4004s, 0000000000000000, 1e-06s, 0000000000000000, 6.18e-05s, 41500
84000, 0.0249504s, 0, 84000, 69.921s, 0000000000000000, 9e-07s, 0000000000000000, 6.13e-05s, 42000
85000, 0.0262849s, 0, 85000, 71.3632s, 0000000000000000, 1e-06s, 0000000000000000, 6.05e-05s, 42500
86000, 0.0246084s, 0, 86000, 73.2171s, 0000000000000000, 1.1e-06s, 0000000000000000, 0.0001179s, 43000
87000, 0.0271252s, 0, 87000, 74.9612s, 0000000000000000, 1e-06s, 0000000000000000, 6.57e-05s, 43500
88000, 0.0251608s, 0, 88000, 76.6602s, 0000000000000000, 9e-07s, 0000000000000000, 6.32e-05s, 44000
89000, 0.026677s, 0, 89000, 78.4493s, 0000000000000000, 1.1e-06s, 0000000000000000, 6.42e-05s, 44500
90000, 0.025785s, 0, 90000, 80.0725s, 0000000000000000, 1.1e-06s, 0000000000000000, 6.54e-05s, 45000
91000, 0.0268756s, 0, 91000, 81.9986s, 0000000000000000, 1e-06s, 0000000000000000, 6.69e-05s, 45500
92000, 0.0293222s, 0, 92000, 83.8096s, 0000000000000000, 1e-06s, 0000000000000000, 6.78e-05s, 46000
93000, 0.0271509s, 0, 93000, 85.4699s, 0000000000000000, 1e-06s, 0000000000000000, 6.77e-05s, 46500
94000, 0.0277538s, 0, 94000, 87.5279s, 0000000000000000, 1e-06s, 0000000000000000, 6.84e-05s, 47000
95000, 0.0290425s, 0, 95000, 89.2447s, 0000000000000000, 1.1e-06s, 0000000000000000, 7.05e-05s, 47500
96000, 0.0278656s, 0, 96000, 91.2449s, 0000000000000000, 1.1e-06s, 0000000000000000, 7.02e-05s, 48000
97000, 0.0276005s, 0, 97000, 93.2638s, 0000000000000000, 1.4e-06s, 0000000000000000, 7.08e-05s, 48500
98000, 0.0278415s, 0, 98000, 94.9492s, 0000000000000000, 1.1e-06s, 0000000000000000, 7.31e-05s, 49000
99000, 0.0287722s, 0, 99000, 3808.3s, 0000000000000000, 1.9e-06s, 0000000000000000, 7.44e-05s, 49500
100000, 0.0295545s, 0, 100000, 99.2098s, 0000000000000000, 1.1e-06s, 0000000000000000, 7.28e-05s, 50000
101000, 0.0325278s, 0, 101000, 101.354s, 0000000000000000, 1e-06s, 0000000000000000, 7.52e-05s, 50500
102000, 0.031423s, 0, 102000, 103.225s, 0000000000000000, 1.4e-06s, 0000000000000000, 7.63e-05s, 51000
103000, 0.0313951s, 0, 103000, 105.308s, 0000000000000000, 1.5e-06s, 0000000000000000, 7.73e-05s, 51500
104000, 0.0308501s, 0, 104000, 107.312s, 0000000000000000, 1.3e-06s, 0000000000000000, 9.08e-05s, 52000
105000, 0.0319176s, 0, 105000, 109.187s, 0000000000000000, 1e-06s, 0000000000000000, 7.66e-05s, 52500
106000, 0.032911s, 0, 106000, 111.163s, 0000000000000000, 1.2e-06s, 0000000000000000, 7.86e-05s, 53000
107000, 0.0318741s, 0, 107000, 113.347s, 0000000000000000, 1.2e-06s, 0000000000000000, 7.87e-05s, 53500
108000, 0.0323641s, 0, 108000, 115.404s, 0000000000000000, 1e-06s, 0000000000000000, 7.84e-05s, 54000
109000, 0.0320649s, 0, 109000, 117.455s, 0000000000000000, 1e-06s, 0000000000000000, 7.97e-05s, 54500
110000, 0.0327976s, 0, 110000, 119.758s, 0000000000000000, 1.1e-06s, 0000000000000000, 8.2e-05s, 55000
111000, 0.0316911s, 0, 111000, 144.928s, 0000000000000000, 1.3e-06s, 0000000000000000, 8.8e-05s, 55500
112000, 0.0339885s, 0, 112000, 125.506s, 0000000000000000, 1e-06s, 0000000000000000, 8.42e-05s, 56000
113000, 0.0354394s, 0, 113000, 128.352s, 0000000000000000, 1.2e-06s, 0000000000000000, 8.43e-05s, 56500
